Timestamp,Team Name/Number,Pre-condition ,Score after point,How was the point determined (responsibility)?,Which player(s) on team being observed was responsible for winning or losing the point?,How was the point won/lost?,Quality of Point,Type of Interaction,Quality of High-Fives / Physical Interaction,Quality of Verbal Interaction,Who high-fived who? [Setter],Who high-fived who? [Outside Hitter],Who high-fived who? [Rightside Hitter],Who high-fived who? [Middle],Who talked to who? [Setter],Who talked to who? [Outside Hitter],Who talked to who? [Rightside Hitter],Who talked to who? [Middle],Length of play,Team Sex
,,,,,,,,,,,,,,,,,,,,
3/19/2024 16:28:18,yellow,Point Won,1-0,Successful Offense,Right Side Hitter,Hit,4,"HF (High-Five), PS (Physical Support), VS (Verbal Support)",4,3,"Setter, Outside Hitter, Rightside Hitter, Back row","Setter, Rightside Hitter, Back row","Setter, Outside Hitter, Back row","Setter, Outside Hitter, Rightside Hitter",Rightside Hitter,,Setter,,2,Female
3/19/2024 16:30:11,yellow,Point Won,3-1,Mistake,Right Side Hitter,Hit,1,"HF (High-Five), PS (Physical Support), VS (Verbal Support)",2,2,"Setter, Outside Hitter, Rightside Hitter, Back row","Setter, Outside Hitter, Rightside Hitter, Back row","Setter, Outside Hitter, Rightside Hitter, Back row","Setter, Outside Hitter, Rightside Hitter, Back row",,,,"Setter, Outside Hitter, Rightside Hitter, Back row",3,Female
3/19/2024 16:31:35,yellow,Point Lost,4-3,Successful Offense,Outside Hitter,Hit,4,"HF (High-Five), VS (Verbal Support)",1,1,Back row,Back row,,,,,,,3,Female
3/19/2024 16:34:42,yellow,Point Won,7-4,Successful Offense,Back-row,Hit,3,"HF (High-Five), PS (Physical Support), VC (Verbal Criticism)",2,2,Back row,Back row,Back row,Setter,Back row,,,Setter,1,Female
3/19/2024 16:36:23,yellow,Point Won,9-4,Successful Offense,Setter,Block,4,"HF (High-Five), PS (Physical Support), VS (Verbal Support)",4,4,"Setter, Outside Hitter, Rightside Hitter, Back row",Setter,"Setter, Rightside Hitter",Setter,Setter,,Setter,Setter,3,Female
3/19/2024 16:37:45,yellow,Point Won,9-7,Successful Offense,Outside Hitter,Hit,4,"HF (High-Five), PS (Physical Support), VS (Verbal Support)",3,2,Outside Hitter,Setter,"Outside Hitter, Back row",Outside Hitter,Outside Hitter,Setter,,,2,Female
3/19/2024 16:40:27,yellow,Point Lost,9-8,Mistake,Setter,Violation,1,VC (Verbal Criticism),1,1,,,,,Setter,,Setter,,2,Female
3/19/2024 16:43:38,yellow,Point Lost,11-10,Mistake,Middle,Block,2,"HF (High-Five), PS (Physical Criticism), VS (Verbal Support)",2,1,Middle,,,,Middle,,,Setter,2,Female
3/19/2024 16:45:23,yellow,Point Lost,13-13,Successful Offense,Outside Hitter,Hit,3,"HF (High-Five), PS (Physical Support), PS (Physical Criticism), VC (Verbal Criticism)",1,1,"Outside Hitter, Rightside Hitter, Middle","Setter, Rightside Hitter, Middle","Setter, Outside Hitter, Middle","Setter, Outside Hitter, Rightside Hitter","Outside Hitter, Rightside Hitter, Middle",,,,5,Female
3/19/2024 16:47:17,yellow,Point Won,14-14,Mistake,Setter,Violation,2,HF (High-Five),2,1,"Setter, Middle",Rightside Hitter,,Setter,"Outside Hitter, Rightside Hitter, Middle",,,,3,Female
3/19/2024 16:48:53,yellow,Point Lost,16-14,Successful Offense,Right Side Hitter,Hit,5,"PS (Physical Support), VS (Verbal Support)",1,1,"Outside Hitter, Rightside Hitter, Middle",,Outside Hitter,,"Outside Hitter, Rightside Hitter, Middle",,Outside Hitter,,5,Female
3/19/2024 16:51:54,blue,Point Won,8-8,Successful Offense,Outside Hitter,Hit,4,HF (High-Five),2,,,"Setter, Outside Hitter",Rightside Hitter,,,,,,3,Male
3/19/2024 16:54:09,blue,Point Won,14-10,Successful Offense,Right Side Hitter,Block,3,"HF (High-Five), PS (Physical Support), PS (Physical Criticism)",3,2,Setter,,"Setter, Rightside Hitter",,Rightside Hitter,,,,4,Male
3/19/2024 16:55:40,Blue,Point Won,17-15,Successful Offense,Outside Hitter,Hit,5,"HF (High-Five), PS (Physical Support), VS (Verbal Support)",4,4,"Setter, Outside Hitter","Outside Hitter, Rightside Hitter, Middle",Outside Hitter,Outside Hitter,Outside Hitter,Setter,Outside Hitter,Outside Hitter,2,Male
3/19/2024 16:56:48,blue,Point Lost,16-19,Successful Offense,Middle,Hit,4,"HF (High-Five), VS (Verbal Support), VC (Verbal Criticism)",1,1,Outside Hitter,,,,Outside Hitter,,,,2,Male
3/19/2024 16:58:05,blue,Point Lost,20-18,Mistake,Setter,Violation,2,"HF (High-Five), PS (Physical Support), VS (Verbal Support)",1,1,,Setter,Setter,Setter,,Setter,Setter,Setter,2,Male
3/19/2024 17:01:38,gray,Point Lost,2-3,Successful Offense,Middle,Hit,3,"HF (High-Five), PS (Physical Support), PS (Physical Criticism), VC (Verbal Criticism)",2,2,Middle,,Middle,Middle,Middle,,,,4,Male
3/19/2024 17:03:06,gray,Point Lost,4-3,Mistake,Right Side Hitter,Block,2,"PS (Physical Criticism), VC (Verbal Criticism)",1,1,Outside Hitter,Outside Hitter,,,Outside Hitter,Outside Hitter,,,4,Male
3/19/2024 17:04:50,black,Point Won,4-0,Successful Offense,Right Side Hitter,Hit,2,"HF (High-Five), VS (Verbal Support)",3,3,Rightside Hitter,Rightside Hitter,Setter,Rightside Hitter,"Outside Hitter, Rightside Hitter, Middle",Middle,Outside Hitter,Rightside Hitter,3,Female
3/19/2024 17:06:26,black,Point Won,5-2,Successful Offense,Setter,Serve (Ace),4,"HF (High-Five), PS (Physical Support), VS (Verbal Support)",5,4,,"Setter, Rightside Hitter","Setter, Outside Hitter",Setter,,"Setter, Middle",Setter,"Setter, Rightside Hitter",4,Female
3/19/2024 17:07:15,black,Point Lost,13-4,Successful Offense,Right Side Hitter,Hit,3,HF (High-Five),2,2,"Outside Hitter, Rightside Hitter, Middle",,Outside Hitter,Rightside Hitter,"Outside Hitter, Rightside Hitter, Middle",,Outside Hitter,Rightside Hitter,3,Female
